PRcon534_26:7	i	PP(PP)	i
PRcon534_26:8	'm	VBP(VBP)	be
PRcon534_26:9	not	RB(RB)	not
PRcon534_26:10	saying	VVG(VVG)	say
PRcon534_26:11	i	PP(PP)	i
PRcon534_26:12	think	VVP(VVP)	think
PRcon534_26:13	this	DT(DT)	this
PRcon534_26:14	should	MD(MD)	shall
PRcon534_26:15	work	VV(VV)	work
PRcon534_26:16	but	CC(CC)	but
PRcon534_26:17	i	PP(PP)	i
PRcon534_26:18	i	PP(PP)	i
PRcon534_26:19	think	VVP(VVP)	think
PRcon534_26:20	one	PP(PP)	one
PRcon534_26:21	should	MD(MD)	shall
PRcon534_26:22	play	VV(VV)	play
PRcon534_26:23	with	IN(IN)	with
PRcon534_26:24	this	DT(DT)	this
PRcon534_26:25	_0	PA(PA)	

PRcon534_27:1	why	WRB(WRB)	why
PRcon534_27:2	would	MD(MD)	will
PRcon534_27:3	that	DT(DT)	that

PRcon534_28:1	yah	RE(RE)	yah
PRcon534_28:2	i	PP(PP)	i
PRcon534_28:3	do	VVP(VVP)	do

PRcon534_29:1	yah	RE(RE)	yah
PRcon534_29:2	i	PP(PP)	i
PRcon534_29:3	'm	VBP(VBP)	be
PRcon534_29:4	just	RB(RB)	just
PRcon534_29:5	trying	VVG(VVG)	try
PRcon534_29:6	to	TO(TO)	to
PRcon534_29:7	say	VV(VV)	say
PRcon534_29:8	this	DT(DT)	this
PRcon534_29:9	_0	PA(PA)	

PRcon534_30:1	yes	RE(RE)	yes

PRcon534_31:1	if	IN(IN)	if
PRcon534_31:2	di-	XX(XX)	
PRcon534_31:3	if	IN(IN)	if
PRcon534_31:4	d-	XX(XX)	
PRcon534_31:5	if	IN(IN)	if
PRcon534_31:6	diagonal	JJ(JJ)/NN(NN)	diagonal
PRcon534_31:7	does	VVZ(VVZ)	do
PRcon534_31:8	n't	RB(RB)	not
PRcon534_31:9	open	VV(VV)	open
PRcon534_31:10	in	IN(IN)	in
PRcon534_31:11	two	CD(CD)	two
PRcon534_31:12	dimension	NN(NNS)	dimension
PRcon534_31:13	then	RB(RB)	then
PRcon534_31:14	what	WDT(WDT)	what
PRcon534_31:15	_1	PA(PA)	
PRcon534_31:16	what	WDT(WDT)	what
PRcon534_31:17	part	NN(NN)	part
PRcon534_31:18	of	IN(IN)	of
PRcon534_31:19	this	DT(DT)	this
PRcon534_31:20	construction	NN(NN)	construction
PRcon534_31:21	make	V(VVZ)	make
PRcon534_31:22	it	PP(PP)	it
PRcon534_31:23	_0	PA(PA)	
PRcon534_31:24	better	JJR(JJR)	good
PRcon534_31:25	_0	PA(PA)	
PRcon534_31:26	even	IN(IN)	even
PRcon534_31:27	if	IN(IN)	if
PRcon534_31:28	it	PP(PP)	it
PRcon534_31:29	is	VBZ(VBZ)	be
PRcon534_31:30	a	DT(DT)	a
PRcon534_31:31	two	CD(CD)	two
PRcon534_31:32	di-	XX(XX)	
PRcon534_31:33	dimension	NN(NN)	dimension
PRcon534_31:34	what	WDT(WDT)	what
PRcon534_31:35	kind	NN(NN)	kind
PRcon534_31:36	of	IN(IN)	of
PRcon534_31:37	_1	PA(PA)	
PRcon534_31:38	gain	NN(NN)	gain
PRcon534_31:39	_0	PA(PA)	

PRcon534_32:1	tha-	XX(XX)	
PRcon534_32:2	that	IN(IN)	that
PRcon534_32:3	you	PP(PP)	you
PRcon534_32:4	can	MD(MD)	can
PRcon534_32:5	_0	PA(PA)	
PRcon534_32:6	construct	VV(VV)	construct
PRcon534_32:7	_0	PA(PA)	
PRcon534_32:8	s_p	SYM(SYM)	s_p
PRcon534_32:9	tilde	NN(NN)	tilde
PRcon534_32:10	easier	RBR(RBR)	easy
PRcon534_32:11	than	IN(IN)	than
PRcon534_32:12	than	IN(IN)	than
PRcon534_32:13	than	IN(IN)	than
PRcon534_32:14	s_P	SYM(SYM)	s_P
PRcon534_32:15	see	VV(VV)	see
PRcon534_32:16	_0	PA(PA)	

PRcon534_33:1	i	PP(PP)	i
PRcon534_33:2	know	VVP(VVP)	know
PRcon534_33:3	i	PP(PP)	i
PRcon534_33:4	know	VVP(VVP)	know
PRcon534_33:5	but	CC(CC)	but
PRcon534_33:6	s_c	SYM(SYM)	s_c

PRcon534_34:1	you	PP(PP)	you
PRcon534_34:2	can	MD(MD)	can
PRcon534_34:3	immediately	RB(RB)	immediately

PRcon534_35:1	if	IN(IN)	if
PRcon534_35:2	this	DT(DT)	this
PRcon534_35:3	if	IN(IN)	if
PRcon534_35:4	this	DT(DT)	this
PRcon534_35:5	idea	NN(NN)	idea
PRcon534_35:6	works	VVZ(VVZ)	work
PRcon534_35:7	in	IN(IN)	in
PRcon534_35:8	two	CD(CD)	two
PRcon534_35:9	dimension	NN(NNS)	dimension
PRcon534_35:10	why	WRB(WRB)	why
PRcon534_35:11	then	RB(RB)	then
