PRcon599_31:4	_1	PA(PA)	
PRcon599_31:5	you	PP(PP)	you
PRcon599_31:6	can	MD(MD)	can
PRcon599_31:7	continue	VV(VV)	continue
PRcon599_31:8	with	IN(IN)	with
PRcon599_31:9	your	PP$(PP$)	you
PRcon599_31:10	conversation	NN(NN)	conversation
PRcon599_31:11	if	IN(IN)	if
PRcon599_31:12	you	PP(PP)	you
PRcon599_31:13	do	VVP(VVP)	do
PRcon599_31:14	n't	RB(RB)	not
PRcon599_31:15	mind	VV(VV)	mind
PRcon599_31:16	_1	PA(PA)	
PRcon599_31:17	@@	LA(LA)	
PRcon599_31:18	and	CC(CC)	and
PRcon599_31:19	i	PP(PP)	i
PRcon599_31:20	'm	VBP(VBP)	be
PRcon599_31:21	going	VVG(VVG)	go
PRcon599_31:22	to	TO(TO)	to
PRcon599_31:23	record	VV(VV)	record
PRcon599_31:24	it	PP(PP)	it

PRcon599_33:1	so	DM(DM)	so
PRcon599_33:2	where	WRB(WRB)	where
PRcon599_33:3	did	VVD(VVD)	do
PRcon599_33:4	we	PP(PP)	we
PRcon599_33:5	stop	VV(VV)	stop
PRcon599_33:6	_0	PA(PA)	

PRcon599_34:1	er	UH(UH)	er
PRcon599_34:2	we	PP(PP)	we
PRcon599_34:3	explained	VVD(VVD)	explain
PRcon599_34:4	the	DT(DT)	the
PRcon599_34:5	german	JJ(JJ)	german
PRcon599_34:6	system	NN(NN)	system
PRcon599_34:7	er	UH(UH)	er
PRcon599_34:8	_0	PA(PA)	
PRcon599_34:9	compared	VVN(VVN)	compare
PRcon599_34:10	_0	PA(PA)	
PRcon599_34:11	university	NN(NN)	university
PRcon599_34:12	system	NN(NN)	system
PRcon599_34:13	compared	VVN(VVN)	compare
PRcon599_34:14	to	IN(IN)	to
PRcon599_34:15	the	DT(DT)	the
PRcon599_34:16	united	NPS(NPS)	united
PRcon599_34:17	states	NPS(NPS)	state

PRcon599_35:1	yeah	RE(RE)	yeah

PRcon599_36:1	the	DT(DT)	the
PRcon599_36:2	_0	PA(PA)	
PRcon599_36:3	the	DT(DT)	the
PRcon599_36:4	professorial	JJ(JJ)	professorial
PRcon599_36:5	system	NN(NN)	system
PRcon599_36:6	_0	PA(PA)	

PRcon599_37:1	so	DM(DM)	so
PRcon599_37:2	there	EX(EX)	there
PRcon599_37:3	is	VBZ(VBZ)	be
PRcon599_37:4	no	DT(DT)	no
PRcon599_37:5	tenure	NN(NN)	tenure
PRcon599_37:6	er	UH(UH)	er
PRcon599_37:7	track	NN(NN)	track
PRcon599_37:8	er	UH(UH)	er
PRcon599_37:9	_1	PA(PA)	

PRcon599_38:1	in	IN(IN)	in
PRcon599_38:2	the	DT(DT)	the
PRcon599_38:3	germany	NP(NP)	germany

PRcon599_39:1	@@@	LA(LA)	

PRcon599_40:1	er	UH(UH)	er
PRcon599_40:2	from	IN(IN)	from
PRcon599_40:3	er	UH(UH)	er
PRcon599_40:4	_0	PA(PA)	
PRcon599_40:5	the	DT(DT)	the
PRcon599_40:6	s_phd	NN(NN)	s_phd
PRcon599_40:7	er	UH(UH)	er
PRcon599_40:8	to	IN(IN)	to
PRcon599_40:9	er	UH(UH)	er
PRcon599_40:10	_0	PA(PA)	
PRcon599_40:11	an	DT(DT)	a
PRcon599_40:12	associate	JJ(JJ)	associate
PRcon599_40:13	professorship	NN(NN)	professorship
PRcon599_40:14	_1	PA(PA)	
PRcon599_40:15	there	EX(EX)	there
PRcon599_40:16	is	VBZ(VBZ)	be
PRcon599_40:17	er	UH(UH)	er
PRcon599_40:18	still	RB(RB)	still
PRcon599_40:19	some	DT(DT)	some
PRcon599_40:20	_1	PA(PA)	
PRcon599_40:21	kind	NN(NN)	kind
PRcon599_40:22	of	IN(IN)	of
PRcon599_40:23	er	UH(UH)	er
PRcon599_40:24	_2	PA(PA)	
PRcon599_40:25	erm	UH(UH)	erm
PRcon599_40:26	restricted	JJ(JJ)	restricted
PRcon599_40:27	er	UH(UH)	er
