LEint551_38:2	yah	RE(RE)	yah

LEint551_39:1	and	CC(CC)	and
LEint551_39:2	you	PP(PP)	you
LEint551_39:3	're	VBP(VBP)	be
LEint551_39:4	from	IN(IN)	from
LEint551_39:5	_0	PA(PA)	
LEint551_39:6	france	NP(NP)	france
LEint551_39:7	_0	PA(PA)	

LEint551_40:1	no	RE(RE)	no
LEint551_40:2	belgium	NP(NP)	belgium

LEint551_41:1	belgium	NP(NP)	belgium
LEint551_41:2	sorry	FI(FI)	sorry
LEint551_41:3	sorry	FI(FI)	sorry

LEint551_42:1	yeah	RE(RE)	yeah
LEint551_42:2	@@@@@	LA(LA)	
LEint551_42:3	the	DT(DT)	the
LEint551_42:4	other	JJ(JJ)	other
LEint551_42:5	hh	BR(BR)	
LEint551_42:6	and	CC(CC)	and
LEint551_42:7	er	UH(UH)	er
LEint551_42:8	we	PP(PP)	we
LEint551_42:9	are	VBP(VBP)	be
LEint551_42:10	with	IN(IN)	with
LEint551_42:11	a	DT(DT)	a
LEint551_42:12	groups	NNS(NN)	group
LEint551_42:13	with	IN(IN)	with
LEint551_42:14	seven	CD(CD)	seven
LEint551_42:15	person	NN(NNS)	person
LEint551_42:16	seven	CD(CD)	seven

LEint551_43:1	mhm	RE(RE)	mhm

LEint551_44:1	f_oui	FW(FW)	
LEint551_44:2	seven	CD(CD)	seven
LEint551_44:3	person	NN(NNS)	person
LEint551_44:4	_1	PA(PA)	
LEint551_44:5	and	CC(CC)	and
LEint551_44:6	er	UH(UH)	er
LEint551_44:7	_1	PA(PA)	
LEint551_44:8	it	PP(PP)	it
LEint551_44:9	's	VBS(VBS)	be
LEint551_44:10	er	UH(UH)	er
LEint551_44:11	very	RB(RB)	very
LEint551_44:12	nice	JJ(JJ)	nice
LEint551_44:13	because	IN(IN)	because
LEint551_44:14	the	DT(DT)	the
LEint551_44:15	landscape	NN(NN)	landscape
LEint551_44:16	_0	PA(PA)	
LEint551_44:17	landscape	NN(NN)	landscape
LEint551_44:18	_0	PA(PA)	

LEint551_45:1	mhm	RE(RE)	mhm

LEint551_46:1	is	VBZ(VBZ)	be
LEint551_46:2	beautiful	JJ(JJ)	beautiful
LEint551_46:3	we	PP(PP)	we
