PRint602_36:5	it	PP(PP)	it
PRint602_36:6	's	VBS(VBS)	be
PRint602_36:7	very	RB(RB)	very
PRint602_36:8	good	JJ(JJ)	good
PRint602_36:9	_0	PA(PA)	
PRint602_36:10	the	DT(DT)	the
PRint602_36:11	the	DT(DT)	the
PRint602_36:12	er	UH(UH)	er
PRint602_36:13	_0	PA(PA)	
PRint602_36:14	very	RB(RB)	very
PRint602_36:15	fresh	JJ(JJ)	fresh
PRint602_36:16	air	NN(NN)	air
PRint602_36:17	and	CC(CC)	and
PRint602_36:18	kind	JJ(JJ)	kind
PRint602_36:19	people	NNS(NNS)	people
PRint602_36:20	_0	PA(PA)	

PRint602_37:1	mhm	RE(RE)	mhm

PRint602_38:1	and	CC(CC)	and
PRint602_38:2	er	UH(UH)	er
PRint602_38:3	good	JJ(JJ)	good
PRint602_38:4	foods	NNS(NNS)	food
PRint602_38:5	_0	PA(PA)	
PRint602_38:6	@@@@	LA(LA)	

PRint602_39:1	good	JJ(JJ)	good
PRint602_39:2	food	NN(NN)	food
PRint602_39:3	okay	RE(RE)	okay
PRint602_39:4	so	DM(DM)	so
PRint602_39:5	enjoy	VV(VV)	enjoy
PRint602_39:6	your	PP$(PP$)	you
PRint602_39:7	food	NN(NN)	food
PRint602_39:8	thank	FI(FI)	thank
PRint602_39:9	you	FI(FI)	you
PRint602_39:10	very	RB(RB)	very
PRint602_39:11	much	RB(RB)	much

PRint602_40:1	okay	RE(RE)	okay
PRint602_40:2	thank	FI(FI)	thank
PRint602_40:3	you	FI(FI)	you

PRint602_41:1	bye-bye	FI(FI)	bye-bye

