PRint33_41:1	mhm	RE(RE)	mhm
PRint33_41:2	_0	PA(PA)	

PRint33_42:1	mhm	RE(RE)	mhm

PRint33_43:1	so	DM(DM)	so
PRint33_43:2	_0	PA(PA)	
PRint33_43:3	how	WRB(WRB)	how
PRint33_43:4	about	IN(IN)	about

PRint33_44:1	but	CC(CC)	but
PRint33_44:2	when	WRB(WRB)	when
PRint33_44:3	you	PP(PP)	you
PRint33_44:4	speak	VVP(VVP)	speak
PRint33_44:5	to	IN(IN)	to
PRint33_44:6	people	NNS(NNS)	people
PRint33_44:7	to	IN(IN)	to
PRint33_44:8	viennese	JJ(JJ)	viennese
PRint33_44:9	people	NNS(NNS)	people
PRint33_44:10	for	RB(RB)	for
PRint33_44:11	example	RB(RB)	example
PRint33_44:12	to	TO(TO)	to
PRint33_44:13	go	VV(VV)	go
PRint33_44:14	to	IN(IN)	to
PRint33_44:15	a	DT(DT)	a
PRint33_44:16	shop	NN(NN)	shop
PRint33_44:17	or	CC(CC)	or
PRint33_44:18	if	IN(IN)	if
PRint33_44:19	you	PP(PP)	you
PRint33_44:20	talk	VVP(VVP)	talk
PRint33_44:21	to	IN(IN)	to
PRint33_44:22	somebody	NN(NN)	somebody
PRint33_44:23	on	IN(IN)	on
PRint33_44:24	the	DT(DT)	the
PRint33_44:25	street	NN(NN)	street
PRint33_44:26	do	VVP(VVP)	do
PRint33_44:27	you	PP(PP)	you
PRint33_44:28	think	VV(VV)	think
PRint33_44:29	that	IN(IN)	that
PRint33_44:30	erm	UH(UH)	erm
PRint33_44:31	they	PP(PP)	they
PRint33_44:32	_0	PA(PA)	
PRint33_44:33	they	PP(PP)	they
PRint33_44:34	are	VBP(VBP)	be
PRint33_44:35	cooperative	JJ(JJ)	cooperative
PRint33_44:36	and	CC(CC)	and
PRint33_44:37	they	PP(PP)	they
PRint33_44:38	er	UH(UH)	er
PRint33_44:39	_0	PA(PA)	
PRint33_44:40	they	PP(PP)	they
PRint33_44:41	can	MD(MD)	can
PRint33_44:42	speak	VV(VV)	speak
PRint33_44:43	english	NP(NP)	english
PRint33_44:44	and	CC(CC)	and
PRint33_44:45	they	PP(PP)	they
PRint33_44:46	are	VBP(VBP)	be
PRint33_44:47	able	JJ(JJ)	able
PRint33_44:48	to	TO(TO)	to
PRint33_44:49	help	VV(VV)	help
PRint33_44:50	you	PP(PP)	you

PRint33_45:1	erm	UH(UH)	erm
PRint33_45:2	yeah	RE(RE)	yeah

PRint33_46:1	yeah	RE(RE)	yeah
PRint33_46:2	they	PP(PP)	they
PRint33_46:3	can	MD(MD)	can
PRint33_46:4	speak	VV(VV)	speak
PRint33_46:5	english	NP(NP)	english
PRint33_46:6	well	RB(RB)	well

PRint33_47:1	yes	RE(RE)	yes

PRint33_48:1	okay	RE(RE)	okay
PRint33_48:2	_0	PA(PA)	
PRint33_48:3	and	CC(CC)	and
PRint33_48:4	is	VBZ(VBZ)	be
PRint33_48:5	this	DT(DT)	this
PRint33_48:6	your	PP$(PP$)	you
PRint33_48:7	first	JJ(JJ)	first
PRint33_48:8	time	NN(NN)	time
PRint33_48:9	in	IN(IN)	in
PRint33_48:10	vienna	NP(NP)	vienna

PRint33_49:1	yeah	RE(RE)	yeah
PRint33_49:2	_0	PA(PA)	
PRint33_49:3	it	PP(PP)	it
PRint33_49:4	's	VBS(VBS)	be
PRint33_49:5	first	JJ(JJ)	first
PRint33_49:6	time	NN(NN)	time

PRint33_50:1	and	CC(CC)	and
PRint33_50:2	you	PP(PP)	you
PRint33_50:3	like	VVP(VVP)	like
PRint33_50:4	it	PP(PP)	it
PRint33_50:5	_0	PA(PA)	

PRint33_51:1	yeah	RE(RE)	yeah
PRint33_51:2	i	PP(PP)	i
PRint33_51:3	like	VVP(VVP)	like
PRint33_51:4	it	PP(PP)	it
PRint33_51:5	_0	PA(PA)	
PRint33_51:6	i	PP(PP)	i
PRint33_51:7	like	VVP(VVP)	like
PRint33_51:8	it	PP(PP)	it
PRint33_51:9	it	PP(PP)	it
PRint33_51:10	's	VBS(VBS)	be
PRint33_51:11	quite	PDT(PDT)	quite
PRint33_51:12	a	DT(DT)	a
PRint33_51:13	beautiful	JJ(JJ)	beautiful
PRint33_51:14	place	NN(NN)	place

PRint33_52:1	mhm	RE(RE)	mhm

PRint33_53:1	and	CC(CC)	and
PRint33_53:2	er	UH(UH)	er
PRint33_53:3	_1	PA(PA)	
PRint33_53:4	i	PP(PP)	i
PRint33_53:5	think	VVP(VVP)	think
PRint33_53:6	it	PP(PP)	it
PRint33_53:7	's	VBS(VBS)	be
PRint33_53:8	quite	RB(RB)	quite
PRint33_53:9	small	JJ(JJ)	small
PRint33_53:10	_0	PA(PA)	

PRint33_54:1	it	PP(PP)	it
PRint33_54:2	's	VBS(VBS)	be
PRint33_54:3	small	JJ(JJ)	small

PRint33_55:1	yeah	RE(RE)	yeah
PRint33_55:2	_0	PA(PA)	
PRint33_55:3	have	VHP(VHP)	have
PRint33_55:4	you	PP(PP)	you
PRint33_55:5	been	VBN(VBN)	be
PRint33_55:6	to	IN(IN)	to
PRint33_55:7	london	NP(NP)	london
PRint33_55:8	or	CC(CC)	or
PRint33_55:9	paris	NP(NP)	paris
PRint33_55:10	_0	PA(PA)	

PRint33_56:1	yes	RE(RE)	yes

PRint33_57:1	cos	IN(IN)	cos
PRint33_57:2	there	EX(EX)	there
PRint33_57:3	are	VBP(VBP)	be
PRint33_57:4	big	JJ(JJ)	big
PRint33_57:5	_0	PA(PA)	
PRint33_57:6	city	NN(NN)	city

PRint33_58:1	yes	RE(RE)	yes
PRint33_58:2	_0	PA(PA)	

PRint33_59:1	er	UH(UH)	er
PRint33_59:2	is	VBZ(VBZ)	be
PRint33_59:3	quite	RB(RB)	quite
PRint33_59:4	small	JJ(JJ)	small

PRint33_60:1	and	CC(CC)	and
PRint33_60:2	they	PP(PP)	they
PRint33_60:3	also	RB(RB)	also
PRint33_60:4	say	VVP(VVP)	say
PRint33_60:5	that	IN(IN)	that
PRint33_60:6	vienna	NP(NP)	vienna
PRint33_60:7	is	VBZ(VBZ)	be
PRint33_60:8	like	IN(IN)	like
PRint33_60:9	a	DT(DT)	a
PRint33_60:10	a	DT(DT)	a
PRint33_60:11	big	JJ(JJ)	big
PRint33_60:12	village	NN(NN)	village

PRint33_61:1	but	CC(CC)	but

PRint33_62:1	yeah	RE(RE)	yeah
PRint33_62:2	@	LA(LA)	

